"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 28259","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
