"DRD350CQ.Code.or.Value","DRD350CQ.Value.Description","DRD350CQ.Count","DRD350CQ.Cumulative","DRD350CQ.Skip.to.Item"
"1 to 16","Range of Values",199,199,NA
".","Missing",9614,9813,NA
