"URXOPP.Code.or.Value","URXOPP.Value.Description","URXOPP.Count","URXOPP.Cumulative","URXOPP.Skip.to.Item"
"0.07 to 46","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
