"VIXOLSM.Code.or.Value","VIXOLSM.Value.Description","VIXOLSM.Count","VIXOLSM.Cumulative","VIXOLSM.Skip.to.Item"
"-22.5 to 11","Range of Values",6235,6235,NA
"88","Could not obtain",165,6400,NA
".","Missing",358,6758,NA
