"RIDAGEMN.Code.or.Value","RIDAGEMN.Value.Description","RIDAGEMN.Count","RIDAGEMN.Cumulative","RIDAGEMN.Skip.to.Item"
"0 to 24","Range of Values",695,695,NA
".","Missing",9276,9971,NA
