"DXXOSBMD.Code.or.Value","DXXOSBMD.Value.Description","DXXOSBMD.Count","DXXOSBMD.Cumulative","DXXOSBMD.Skip.to.Item"
"0.371 to 1.706","Range of Values",5843,5843,NA
".","Missing",1877,7720,NA
