"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0 to 3130","Range of Values",997,997,NA
".","Missing",8765,9762,NA
