"TYXA231.Code.or.Value","TYXA231.Value.Description","TYXA231.Count","TYXA231.Cumulative","TYXA231.Skip.to.Item"
"0.338 to 4.739","Range of Values",218,218,NA
".","Missing",8251,8469,NA
