"DXDLAPF.Code.or.Value","DXDLAPF.Value.Description","DXDLAPF.Count","DXDLAPF.Cumulative","DXDLAPF.Skip.to.Item"
"11.3 to 70","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
