"DR2TCARB.Code.or.Value","DR2TCARB.Value.Description","DR2TCARB.Count","DR2TCARB.Cumulative","DR2TCARB.Skip.to.Item"
"0 to 1451.63","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
