"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.82 to 662.24","Range of Values",3094,3094,NA
".","Missing",185,3279,NA
