"DS1IVK.Code.or.Value","DS1IVK.Value.Description","DS1IVK.Count","DS1IVK.Cumulative","DS1IVK.Skip.to.Item"
"5 to 5000","Range of Values",779,779,NA
".","Missing",5289,6068,NA
