"ECQ040.Code.or.Value","ECQ040.Value.Description","ECQ040.Count","ECQ040.Cumulative","ECQ040.Skip.to.Item"
"1","First month",60,60,NA
"2","Second month",47,107,NA
"3","Third month",51,158,NA
"4","Fourth month",26,184,NA
"5","Fifth month",23,207,NA
"6","Sixth month",15,222,NA
"7","Seventh month",8,230,NA
"8","Eighth month",8,238,NA
"9","Ninth month",6,244,NA
"77","Refused",0,244,NA
"99","Don't know",5,249,NA
".","Missing",4156,4405,NA
