"MCQ300a.Code.or.Value","MCQ300a.Value.Description","MCQ300a.Count","MCQ300a.Cumulative","MCQ300a.Skip.to.Item"
"1","Yes",622,622,NA
"2","No",5003,5625,NA
"7","Refused",0,5625,NA
"9","Don't know",144,5769,NA
".","Missing",4001,9770,NA
