"DS1TSFAT.Code.or.Value","DS1TSFAT.Value.Description","DS1TSFAT.Count","DS1TSFAT.Cumulative","DS1TSFAT.Skip.to.Item"
"0.1 to 3","Range of Values",199,199,NA
".","Missing",9563,9762,NA
