"DRD370R.Code.or.Value","DRD370R.Value.Description","DRD370R.Count","DRD370R.Cumulative","DRD370R.Skip.to.Item"
"1","Yes",94,94,""
"2","No",1933,2027,"DRD370S"
".","Missing",8450,10477,""
