"CVDEXCL5.Code.or.Value","CVDEXCL5.Value.Description","CVDEXCL5.Count","CVDEXCL5.Cumulative","CVDEXCL5.Skip.to.Item"
"1","Yes",77,77,NA
"2","No",877,954,NA
".","Missing",4198,5152,NA
