"DR1TP182.Code.or.Value","DR1TP182.Value.Description","DR1TP182.Count","DR1TP182.Cumulative","DR1TP182.Skip.to.Item"
"0 to 131.147","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
