"LBDBR1LC.Code.or.Value","LBDBR1LC.Value.Description","LBDBR1LC.Count","LBDBR1LC.Cumulative","LBDBR1LC.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",236,249,NA
".","Missing",2,251,NA
