"SPXBFET.Code.or.Value","SPXBFET.Value.Description","SPXBFET.Count","SPXBFET.Cumulative","SPXBFET.Skip.to.Item"
"2.5 to 28.1","Range of Values",611,611,NA
".","Missing",7132,7743,NA
