"LB2BCDSI.Code.or.Value","LB2BCDSI.Value.Description","LB2BCDSI.Count","LB2BCDSI.Cumulative","LB2BCDSI.Skip.to.Item"
"1.78 to 62.28","Range of Values",551,551,NA
".","Missing",0,551,NA
