"SPXBFET.Code.or.Value","SPXBFET.Value.Description","SPXBFET.Count","SPXBFET.Cumulative","SPXBFET.Skip.to.Item"
"3.1 to 23.3","Range of Values",457,457,NA
".","Missing",7038,7495,NA
