"LBC138LA.Code.or.Value","LBC138LA.Value.Description","LBC138LA.Count","LBC138LA.Cumulative","LBC138LA.Skip.to.Item"
"1.061 to 99.66","Range of Values",284,284,NA
".","Missing",0,284,NA
