"AUDTYR17.Code.or.Value","AUDTYR17.Value.Description","AUDTYR17.Count","AUDTYR17.Cumulative","AUDTYR17.Skip.to.Item"
"0 to 1.69","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
