"PFQ061J.Code.or.Value","PFQ061J.Value.Description","PFQ061J.Count","PFQ061J.Cumulative","PFQ061J.Skip.to.Item"
"1","No difficulty",2262,2262,NA
"2","Some difficulty",477,2739,NA
"3","Much difficulty",110,2849,NA
"4","Unable to do",17,2866,NA
"5","Do not do this activity",6,2872,NA
"7","Refused",0,2872,NA
"9","Don't know",0,2872,NA
".","Missing",6144,9016,NA
