"LBDV2ALC.Code.or.Value","LBDV2ALC.Value.Description","LBDV2ALC.Count","LBDV2ALC.Cumulative","LBDV2ALC.Skip.to.Item"
"0","detectable result",31,31,NA
"1","below detectable limit",2736,2767,NA
"2","detectable result and exceeds the calibrated range of assay",0,2767,NA
".","Missing",648,3415,NA
