"LBXMP1.Code.or.Value","LBXMP1.Value.Description","LBXMP1.Count","LBXMP1.Cumulative","LBXMP1.Skip.to.Item"
"1","Sensitive",27,27,NA
"2","Resistant",343,370,NA
"3","Intermediate",0,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
