"SMD410.Code.or.Value","SMD410.Value.Description","SMD410.Count","SMD410.Cumulative","SMD410.Skip.to.Item"
"1","Yes",2172,2172,NA
"2","No",8692,10864,NA
"7","Refused",1,10865,NA
"9","Don't know",0,10865,NA
".","Missing",174,11039,NA
