"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",2174,2174,""
"2","No",4285,6459,"BPQ056"
"7","Refused",0,6459,"BPQ056"
"9","Don't know",5,6464,"BPQ056"
".","Missing",0,6464,""
