"BIXC143K.Code.or.Value","BIXC143K.Value.Description","BIXC143K.Count","BIXC143K.Cumulative","BIXC143K.Skip.to.Item"
"30.47 to 111.75","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
