"WBXA044.Code.or.Value","WBXA044.Value.Description","WBXA044.Count","WBXA044.Cumulative","WBXA044.Skip.to.Item"
"-1.6455 to 0.9992","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
