"DXXLLBMC.Code.or.Value","DXXLLBMC.Value.Description","DXXLLBMC.Count","DXXLLBMC.Cumulative","DXXLLBMC.Skip.to.Item"
"87.05 to 985.58","Range of Values",4862,4862,NA
".","Missing",918,5780,NA
