"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"12082.296879 to 322113.58855","Range of Values",3323,3323,""
"0","No Lab Result",166,3489,"End of Section"
".","Missing",0,3489,""
