"DRD350HQ.Code.or.Value","DRD350HQ.Value.Description","DRD350HQ.Count","DRD350HQ.Cumulative","DRD350HQ.Skip.to.Item"
"1 to 40","Range of Values",2919,2919,NA
".","Missing",5785,8704,NA
