"DXXWDBMD.Code.or.Value","DXXWDBMD.Value.Description","DXXWDBMD.Count","DXXWDBMD.Cumulative","DXXWDBMD.Skip.to.Item"
"0.081 to 1.712","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
