"OHQ670.Code.or.Value","OHQ670.Value.Description","OHQ670.Count","OHQ670.Cumulative","OHQ670.Skip.to.Item"
"1","Very often",175,175,NA
"2","Fairly often",185,360,NA
"3","Occasionally",695,1055,NA
"4","Hardly ever, or",620,1675,NA
"5","Never?",4530,6205,NA
"7","Refused",1,6206,NA
"9","Don't know",7,6213,NA
".","Missing",3091,9304,NA
