"URDMBPLC.Code.or.Value","URDMBPLC.Value.Description","URDMBPLC.Count","URDMBPLC.Cumulative","URDMBPLC.Skip.to.Item"
"0","At or above the detection limit",2737,2737,NA
"1","Below lower detection limit",12,2749,NA
".","Missing",70,2819,NA
