"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 2.203","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
