"CBQ698f.Code.or.Value","CBQ698f.Value.Description","CBQ698f.Count","CBQ698f.Cumulative","CBQ698f.Skip.to.Item"
"6","I buy what I or my family like, I don't care about the labels",100,100,NA
".","Missing",2845,2945,NA
