"LBCD02.Code.or.Value","LBCD02.Value.Description","LBCD02.Count","LBCD02.Cumulative","LBCD02.Skip.to.Item"
"0.3677 to 55.98","Range of Values",297,297,NA
".","Missing",4,301,NA
