"BAQ010.Code.or.Value","BAQ010.Value.Description","BAQ010.Count","BAQ010.Cumulative","BAQ010.Skip.to.Item"
"1","Yes",912,912,""
"2","No",2386,3298,"BAQ070"
"7","Refused",0,3298,"BAQ070"
"9","Don't know",1,3299,"BAQ070"
".","Missing",0,3299,""
