"WBXP039.Code.or.Value","WBXP039.Value.Description","WBXP039.Count","WBXP039.Cumulative","WBXP039.Skip.to.Item"
"-147.6729 to 174.7629","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
