"SSQ061.Code.or.Value","SSQ061.Value.Description","SSQ061.Count","SSQ061.Cumulative","SSQ061.Skip.to.Item"
"0 to 50","Range of Values",3025,3025,NA
"7777","Refused",6,3031,NA
"9999","Don't know",23,3054,NA
".","Missing",2,3056,NA
