"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 1.99","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
