"WBXA065.Code.or.Value","WBXA065.Value.Description","WBXA065.Count","WBXA065.Cumulative","WBXA065.Skip.to.Item"
"-0.7006 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
