"WBXF066.Code.or.Value","WBXF066.Value.Description","WBXF066.Count","WBXF066.Cumulative","WBXF066.Skip.to.Item"
"2448.1071 to 2448.1071","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
