"LBX3AL.Code.or.Value","LBX3AL.Value.Description","LBX3AL.Count","LBX3AL.Cumulative","LBX3AL.Skip.to.Item"
"0.82 to 17.7","Range of Values",1920,1920,NA
".","Missing",685,2605,NA
