"URXDEE.Code.or.Value","URXDEE.Value.Description","URXDEE.Count","URXDEE.Cumulative","URXDEE.Skip.to.Item"
"0.0587 to 119","Range of Values",2667,2667,NA
".","Missing",92,2759,NA
