"RFXC146.Code.or.Value","RFXC146.Value.Description","RFXC146.Count","RFXC146.Cumulative","RFXC146.Skip.to.Item"
"-4.176 to 7.137","Range of Values",51052,51052,NA
".","Missing",24,51076,NA
