"BAQ020C.Code.or.Value","BAQ020C.Value.Description","BAQ020C.Count","BAQ020C.Cumulative","BAQ020C.Skip.to.Item"
"1","Yes",266,266,NA
"2","No",654,920,NA
"7","Refused",0,920,NA
"9","Don't know",2,922,NA
".","Missing",2564,3486,NA
