"DR2TVK.Code.or.Value","DR2TVK.Value.Description","DR2TVK.Count","DR2TVK.Cumulative","DR2TVK.Skip.to.Item"
"0 to 6521.7","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
