"DRD370V.Code.or.Value","DRD370V.Value.Description","DRD370V.Count","DRD370V.Cumulative","DRD370V.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",5424,5424,NA
".","Missing",4338,9762,NA
