"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.2 to 6.3","Range of Values",1771,1771,NA
"777","Refused",0,1771,NA
"888","Could not obtain",9,1780,NA
".","Missing",109,1889,NA
