"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"0.65 to 827","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
