"DR1IBCAR.Code.or.Value","DR1IBCAR.Value.Description","DR1IBCAR.Count","DR1IBCAR.Cumulative","DR1IBCAR.Skip.to.Item"
"0 to 129365","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
