"AUXLR214.Code.or.Value","AUXLR214.Value.Description","AUXLR214.Count","AUXLR214.Cumulative","AUXLR214.Skip.to.Item"
"-18 to 75","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
