"SPFOALC.Code.or.Value","SPFOALC.Value.Description","SPFOALC.Count","SPFOALC.Cumulative","SPFOALC.Skip.to.Item"
"0","At or above the detection limit",1455,1455,NA
"1","Below lower detection limit",1,1456,NA
".","Missing",0,1456,NA
