"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"42.8 to 92.7","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
