"URXPHIP.Code.or.Value","URXPHIP.Value.Description","URXPHIP.Count","URXPHIP.Cumulative","URXPHIP.Skip.to.Item"
"0.24 to 324","Range of Values",2451,2451,NA
".","Missing",154,2605,NA
