"LBCBR2.Code.or.Value","LBCBR2.Value.Description","LBCBR2.Count","LBCBR2.Cumulative","LBCBR2.Skip.to.Item"
"1.807 to 30.21","Range of Values",300,300,NA
".","Missing",1,301,NA
