"CIQDPD.Code.or.Value","CIQDPD.Value.Description","CIQDPD.Count","CIQDPD.Cumulative","CIQDPD.Skip.to.Item"
"1","Yes",2,2,"CIQDPN"
"2","No",19,21,""
"7","Refuse",0,21,""
"9","Don't know",0,21,""
".","Missing",757,778,""
