"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"652.6 to 1192.2","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
