"LBXHBS.Code.or.Value","LBXHBS.Value.Description","LBXHBS.Count","LBXHBS.Cumulative","LBXHBS.Skip.to.Item"
"1","Positive",2961,2961,NA
"2","Negative",5032,7993,NA
".","Missing",854,8847,NA
