"BIXC031K.Code.or.Value","BIXC031K.Value.Description","BIXC031K.Count","BIXC031K.Cumulative","BIXC031K.Skip.to.Item"
"22.86 to 124.77","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
